timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c,gpu_energy_j_cumulative
1784823285097,2026-07-23T16:14:45.097341+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.52,80.0,7,1,1240.12,45,2733.794
1784823286097,2026-07-23T16:14:46.097539+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.51,80.0,7,1,1240.12,45,2762.42
1784823287097,2026-07-23T16:14:47.097690+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.22,80.0,7,1,1240.12,46,2791.082
1784823288097,2026-07-23T16:14:48.097843+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.48,80.0,13,2,1240.12,45,2820.803
1784823289098,2026-07-23T16:14:49.098038+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.8,80.0,8,2,1240.12,45,2848.64
1784823290098,2026-07-23T16:14:50.098257+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.69,80.0,7,1,1240.12,45,2877.486
1784823291098,2026-07-23T16:14:51.098486+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.27,80.0,7,1,1240.12,45,2907.073
1784823292098,2026-07-23T16:14:52.098667+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.47,80.0,14,2,1240.12,46,2935.111
1784823293098,2026-07-23T16:14:53.098849+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.18,80.0,9,2,1240.12,45,2963.895
1784823294099,2026-07-23T16:14:54.099029+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.37,80.0,7,1,1240.12,45,2992.644
1784823295099,2026-07-23T16:14:55.099214+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.97,80.0,7,1,1240.12,45,3021.851
1784823296099,2026-07-23T16:14:56.099336+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.55,80.0,13,2,1240.12,47,3051.518
1784823297099,2026-07-23T16:14:57.099540+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.14,80.0,14,2,1240.12,45,3082.051
1784823298099,2026-07-23T16:14:58.099745+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.11,80.0,7,1,1240.12,45,3110.003
1784823299099,2026-07-23T16:14:59.099820+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.0,80.0,7,1,1240.12,45,3139.152
1784823300100,2026-07-23T16:15:00.100002+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.1,80.0,13,2,1240.12,45,3167.992
1784823301100,2026-07-23T16:15:01.100245+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.09,80.0,12,2,1240.12,45,3197.247
1784823302100,2026-07-23T16:15:02.100432+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.74,80.0,7,1,1240.12,45,3225.956
1784823303100,2026-07-23T16:15:03.100575+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.35,80.0,9,1,1240.12,45,3255.327
1784823304100,2026-07-23T16:15:04.100729+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.65,80.0,13,2,1240.12,45,3283.817
1784823305100,2026-07-23T16:15:05.100932+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.16,80.0,7,1,1240.12,45,3313.088
1784823306101,2026-07-23T16:15:06.101115+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.88,80.0,7,1,1240.12,44,3341.988
1784823307101,2026-07-23T16:15:07.101326+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.7,80.0,14,2,1240.12,45,3371.256
1784823308101,2026-07-23T16:15:08.101524+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.14,80.0,7,1,1240.12,45,3399.333
